,sm_clock,total power,total time,name
0,569,2590.2991452991455,35.0,examiniMD
1,645,2422.449074074074,31.0,examiniMD
2,721,2428.970588235294,30.0,examiniMD
3,797,2404.203045685279,29.0,examiniMD
4,873,2401.893617021277,28.0,examiniMD
5,949,2314.0,26.0,examiniMD
6,1025,2413.9880952380954,25.0,examiniMD
7,1101,2256.15625,23.0,examiniMD
8,1177,2514.565789473684,23.0,examiniMD
9,1252,2504.3557046979868,21.0,examiniMD
10,1328,2854.6875,21.0,examiniMD
11,1404,3118.7999999999997,21.0,examiniMD
12,1480,3435.851851851852,20.0,examiniMD
